年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2013,Ｊ１,第１節第１日,03/02(土),14:04,横浜FM,4-2,湘南,日産ス,"24,298",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第１節第１日,03/02(土),14:04,名古屋,1-1,磐田,豊田ス,"21,748",スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ静岡
2013,Ｊ１,第１節第１日,03/02(土),14:04,鳥栖,1-1,鹿島,ベアスタ,"12,728",スカパー！／スカパー！プレミアムサービス／ＮＨＫ佐賀／ＮＨＫ水戸
2013,Ｊ１,第１節第１日,03/02(土),14:05,Ｃ大阪,1-0,新潟,長居,"15,051",スカパー！／スカパー！プレミアムサービス／ＮＨＫ大阪／ＮＨＫ新潟
2013,Ｊ１,第１節第１日,03/02(土),14:06,仙台,1-1,甲府,ユアスタ,"16,353",スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ甲府
2013,Ｊ１,第１節第１日,03/02(土),14:06,広島,1-2,浦和,Ｅスタ,"27,911",スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合
2013,Ｊ１,第１節第１日,03/02(土),16:03,大宮,2-2,清水,ＮＡＣＫ,"11,330",スカパー！／スカパー！プレミアムサービス／テレ玉
2013,Ｊ１,第１節第１日,03/02(土),19:04,大分,1-2,Ｆ東京,大銀ド,"17,055",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2013,Ｊ１,第１節第２日,03/03(日),13:04,柏,3-1,川崎Ｆ,柏,"13,785",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第２節第１日,03/09(土),13:04,新潟,1-2,広島,東北電ス,"28,118",スカパー！／スカパー！プレミアムサービス／新潟総合テレビ
2013,Ｊ１,第２節第１日,03/09(土),14:03,清水,0-5,横浜FM,アイスタ,"16,487",スカパー！／スカパー！プレミアムサービス／ＮＨＫ静岡
2013,Ｊ１,第２節第１日,03/09(土),14:04,Ｆ東京,3-0,柏,味スタ,"26,256",スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ
2013,Ｊ１,第２節第１日,03/09(土),14:05,鹿島,3-2,仙台,カシマ,"19,981",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2013,Ｊ１,第２節第１日,03/09(土),14:05,甲府,1-2,Ｃ大阪,中銀スタ,"12,116",スカパー！／スカパー！プレミアムサービス／ＮＨＫ甲府
2013,Ｊ１,第２節第１日,03/09(土),15:03,磐田,0-1,大宮,ヤマハ,"10,773",スカパー！／スカパー！プレミアムサービス／静岡放送
2013,Ｊ１,第２節第１日,03/09(土),15:04,川崎Ｆ,1-1,大分,国立,"21,657",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第２節第１日,03/09(土),16:05,浦和,1-0,名古屋,埼玉,"52,293",スカパー！／スカパー！プレミアムサービス／テレ玉（録）
2013,Ｊ１,第２節第１日,03/09(土),19:04,湘南,1-1,鳥栖,ＢＭＷス,"11,439",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2013,Ｊ１,第３節第１日,03/16(土),14:03,横浜FM,2-1,磐田,日産ス,"19,195",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第３節第１日,03/16(土),14:04,仙台,2-1,柏,ユアスタ,"13,232",スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合
2013,Ｊ１,第３節第１日,03/16(土),14:04,鳥栖,5-4,川崎Ｆ,ベアスタ,"8,716",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第３節第１日,03/16(土),14:05,大分,2-2,浦和,大銀ド,"16,510",スカパー！／スカパー！プレミアムサービス／テレビ大分
2013,Ｊ１,第３節第１日,03/16(土),15:03,大宮,1-1,新潟,ＮＡＣＫ,"10,485",スカパー！／スカパー！プレミアムサービス／テレ玉
2013,Ｊ１,第３節第１日,03/16(土),15:04,Ｃ大阪,1-0,Ｆ東京,長居,"13,702",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第３節第１日,03/16(土),16:04,湘南,1-1,清水,ＢＭＷス,"9,453",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第３節第１日,03/16(土),19:04,甲府,0-1,名古屋,中銀スタ,"11,230",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2013,Ｊ１,第３節第２日,03/17(日),13:06,広島,0-0,鹿島,Ｅスタ,"16,029",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第４節第１日,03/30(土),13:04,清水,0-4,広島,アイスタ,"13,137",スカパー！／スカパー！プレミアムサービス／テレビ静岡
2013,Ｊ１,第４節第１日,03/30(土),13:04,Ｃ大阪,1-1,仙台,長居,"13,721",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第４節第１日,03/30(土),14:04,磐田,3-3,鳥栖,ヤマハ,"8,741",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第４節第１日,03/30(土),15:03,大宮,3-1,鹿島,ＮＡＣＫ,"11,492",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第４節第１日,03/30(土),15:03,川崎Ｆ,1-1,甲府,等々力,"14,108",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第４節第１日,03/30(土),15:03,名古屋,2-0,湘南,瑞穂陸,"10,706",スカパー！／スカパー！プレミアムサービス／名古屋テレビ（録）
2013,Ｊ１,第４節第１日,03/30(土),15:04,柏,3-1,大分,柏,"9,144",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第４節第１日,03/30(土),16:03,新潟,0-2,浦和,東北電ス,"29,095",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第４節第１日,03/30(土),19:04,横浜FM,3-2,Ｆ東京,日産ス,"23,698",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2013,Ｊ１,第５節第１日,04/06(土),14:03,Ｆ東京,0-1,大宮,味スタ,"13,859",スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ
2013,Ｊ１,第５節第１日,04/06(土),14:04,仙台,0-1,新潟,ユアスタ,"12,883",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第５節第１日,04/06(土),14:04,広島,1-3,横浜FM,Ｅスタ,"10,554",スカパー！／スカパー！プレミアムサービス
2013,Ｊ１,第５節第１日,04/06(土),14:04,鳥栖,0-1,清水,ベアスタ,"6,707",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2013,Ｊ１,第５節第１日,04/06(土),14:04,大分,0-1,甲府,大銀ド,"7,913",スカパー！／スカパー！プレミアムサービス
